工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色1,机器常染颜色2,机器上一状态,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
114,2216555,202405090172,8784120,0.0,400.0,52,609,[],,140,120.0,中色,5C4100CJR-24B10651,浅色,['浅色'],深色,False,Y,69.25,1,0.0,400.0,,,,
210,4636994,202405210146,8795351,520.0,620.0,52,609,['609'],,140,120.0,浅浅,091050CDK-24W10468,浅色,['浅色'],深色,True,纱架,64.75,2,520.0,620.0,,,,
92,2216639,202405060082,8779552,0.0,560.0,53,610,[],,140,120.0,深色,041050HJ-24R400084,深色,['深色'],深色,False,S,67.75,1,0.0,560.0,,,,
77,2216939,202405080243,8785517,680.0,1145.0,53,610,['610'],,140,120.0,中色,041060CAJ-14B102920,深色,['深色'],深色,False,M,59.75,2,680.0,1145.0,,,,
20,2217008,202405230064,8797600,0.0,505.0,54,611,[],,140,120.0,中色,041020L-24H43420,深色,['深色'],深色,False,L,63.25,1,0.0,505.0,,,,
134,4639003,202405180254,8798130,625.0,750.0,54,611,[],,140,120.0,中色,091050CDL-24B10370,深色,['深色'],深色,True,纱架,61.75,2,625.0,750.0,,,,
21,2216424,202405160189,8792018,169.39321950000001,309.3932195,55,612,['612'],,140,120.0,增白,041050CAJ-05W0004,增白,['增白'],增白,False,S,158.25,1,169.39321950000001,309.3932195,,,,
71,2216708,202405250118,8798152,429.3932195,569.3932195,55,612,['612'],,140,120.0,增白,041040CA-21W51630,增白,['增白'],增白,False,S,158.25,2,429.3932195,569.3932195,,,,
95,2216638,202405170024,8792014,689.3932195,829.3932195,55,612,['612'],,140,120.0,增白,041040CAJ-05W0004,增白,['增白'],增白,False,S,158.25,3,689.3932195,829.3932195,,,,
40,2216367,202405080199,8781912,949.3932195,1089.3932195,55,612,['612'],,140,120.0,增白,041060CAJ-05W0003,增白,['增白'],增白,False,S,157.0,4,949.3932195,1089.3932195,,,,
