工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
142,2213038,202404270212,8776235,2485.0,2910.0,42,507,[],,90,60.0,增白,041060CJ-24W400484,增白,False,S,45.9,5,2485.0,2910.0,,,,
143,2213039,202404270201,8775868,2970.0,3395.0,42,507,[],,90,60.0,增白,041060CJ-05W0003,增白,False,S,45.9,6,2970.0,3395.0,,,,
50,4627944,202404270284,8776464,4300.0,4725.0,42,507,[],,90,120.0,增白,041040CAJ-05W0004,增白,False,纱架,44.4,7,4300.0,4725.0,,,,
53,4627903,202404200098,8768878,4905.0,5330.0,42,507,[],,90,120.0,增白,021045CJ-23W10229,增白,False,纱架,42.9,8,4905.0,5330.0,,,,
4,4625511,202404060252,8758546,0.0,425.0,43,708,[],,90,120.0,浅浅,111030CJ-23Z10216,浅浅,True,纱架,47.4,1,0.0,425.0,,,,
102,4625844,202404240001,8771781,545.0,970.0,43,708,[],,90,120.0,浅浅,042100CAJ-22B85725,浅浅,True,纱架,47.4,2,545.0,970.0,,,,
111,4627120,202404200064,8772489,1090.0,1515.0,43,708,[],,90,120.0,浅色,042080HJ-21B293758,浅浅,False,纱架,47.4,3,1090.0,1515.0,,,,
1,4626267,202404240100,8775162,1635.0,2060.0,43,708,[],,90,120.0,浅色,811030CAJX-24B10128,浅浅,True,纱架,46.5,4,1635.0,2060.0,,,,
103,4626663,202404240096,8772682,2180.0,2605.0,43,708,[],,90,120.0,浅色,041060CAJ-15Y73260,浅浅,True,纱架,46.5,5,2180.0,2605.0,,,,
14,4628653,202404270084,8775375,2725.0,3150.0,43,708,[],,90,120.0,浅色,041040CJ-24Z41173,浅浅,True,纱架,45.9,6,2725.0,3150.0,,,,
47,4626539,202404210021,8772339,3270.0,3695.0,43,708,[],,90,120.0,浅浅,041060CAJ-23B220620,浅浅,True,纱架,44.7,7,3270.0,3695.0,,,,
48,4626543,202404210024,8772294,3815.0,4240.0,43,708,[],,90,120.0,浅浅,041060CAJ-23B81210,浅浅,True,纱架,44.7,8,3815.0,4240.0,,,,
44,4623749,202404110259,8761071,4360.0,4785.0,43,708,[],,90,120.0,浅浅,041040J-23M400111,浅浅,True,纱架,44.4,9,4360.0,4785.0,,,,
45,4623750,202404110260,8761075,4905.0,5330.0,43,708,[],,90,120.0,浅浅,041040J-23M400113,浅浅,True,纱架,44.4,10,4905.0,5330.0,,,,
64,4628845,202404260173,8775049,5450.0,5875.0,43,708,[],,90,120.0,浅色,042010CY-24Z43218,浅浅,True,纱架,43.5,11,5450.0,5875.0,,,,
41,4627904,202404200115,8769418,5995.0,6420.0,43,708,[],,90,120.0,浅色,261050CJ-23Y10017,浅浅,True,纱架,40.5,12,5995.0,6420.0,,,,
23,4628733,202404250354,8774157,0.0,425.0,44,710,[],,90,120.0,中色,041050CAJ-24Z43018,浅浅,True,纱架,47.7,1,0.0,425.0,,,,
134,2213768,202404210023,8772285,545.0,970.0,44,710,[],,90,60.0,中色,041060CAJ-23Z52727,浅浅,True,S,47.7,2,545.0,970.0,,,,
117,4623741,202404110257,8761062,1030.0,1455.0,44,710,[],,90,120.0,中色,041040K-23R401316,浅浅,True,纱架,47.4,3,1030.0,1455.0,,,,
6,4627339,202404180065,8766491,1575.0,2000.0,44,710,[],,90,120.0,中色,092096CJR-24H10233,浅浅,True,纱架,46.5,4,1575.0,2000.0,,,,
7,4627678,202404180045,8766483,2120.0,2545.0,44,710,[],,90,120.0,浅浅,092096CJR-24H10234,浅浅,True,纱架,46.5,5,2120.0,2545.0,,,,
46,4626534,202404200313,8772257,2665.0,3090.0,44,710,[],,90,120.0,浅浅,041060CAJ-24H41020,浅浅,True,纱架,44.7,6,2665.0,3090.0,,,,
49,4626537,202404210019,8772272,3210.0,3635.0,44,710,[],,90,120.0,浅浅,041060CAJ-23H48571,浅浅,True,纱架,44.7,7,3210.0,3635.0,,,,
73,4628730,202404250125,8773959,3755.0,4180.0,44,710,[],,90,120.0,浅浅,041050CAJ-24H42569,浅浅,True,纱架,44.7,8,3755.0,4180.0,,,,
69,4628668,202404250106,8774390,4360.0,4785.0,44,710,[],,90,120.0,浅浅,041050CAJ-24H42372,浅浅,False,纱架,44.4,9,4360.0,4785.0,,,,
56,4628791,202404270221,8775648,5450.0,5875.0,44,710,[],,90,120.0,浅浅,041060CJ-20B292239,浅浅,False,纱架,42.9,10,5450.0,5875.0,,,,
132,2213265,202404140034,8767478,0.0,425.0,45,1011,[],,90,60.0,深色,041050CZ-24B40306,深色,False,M,47.7,1,0.0,425.0,,,,
163,2213767,202404200314,8772258,485.0,910.0,45,1011,[],,90,60.0,深色,041060CAJ-24B43925,深色,True,S,47.7,2,485.0,910.0,,,,
179,2213766,202404200265,8772367,1030.0,1455.0,45,1011,[],,90,60.0,深色,041050CAJ-23R220099,深色,True,S,47.7,3,1030.0,1455.0,,,,
138,2211969,202404160085,8764912,1515.0,1940.0,45,1011,[],,90,60.0,深色,041040CAJ-24K40865,深色,True,M,45.9,4,1515.0,1940.0,,,,
108,4627967,202404150063,8765679,4845.0,5270.0,45,1011,[],,90,120.0,深色,042080CAJ-24B46393,深色,True,纱架,45.3,5,4845.0,5270.0,,,,
67,4626257,202404090007,8758541,5390.0,5815.0,45,1011,[],,90,120.0,深色,041050CJ-24R41374,深色,False,纱架,44.4,6,5390.0,5815.0,,,,
95,4611033,202402250011,8714212,0.0,425.0,46,1012,[],,90,120.0,深色,961030CAJX-23B10095,深色,True,纱架,47.7,1,0.0,425.0,,,,
150,2213765,202404200265,8772366,545.0,970.0,46,1012,[],,90,60.0,深色,041060CAJ-23R220098,深色,True,S,47.7,2,545.0,970.0,,,,
16,4625368,202404210079,8774890,1090.0,1515.0,46,1012,[],,90,120.0,深色,041030CJ-24K220056,深色,True,纱架,47.4,3,1090.0,1515.0,,,,
15,4628654,202404270084,8775376,2180.0,2605.0,46,1012,[],,90,120.0,深色,041040CJ-24H40969,深色,True,纱架,45.9,4,2180.0,2605.0,,,,
129,2213037,202404270212,8776236,2725.0,3150.0,46,1012,[],,90,60.0,深色,041060CJ-24B400677,深色,False,S,45.9,5,2725.0,3150.0,,,,
74,4628714,202404250139,8773639,4905.0,5330.0,46,1012,[],,90,120.0,深色,041050CAJ-24K41238,深色,True,纱架,44.7,6,4905.0,5330.0,,,,
131,2212902,202404130163,8763307,0.0,425.0,66,604,['604'],,200,60.0,增白,042100CAJ-05W0024,增白,False,M,47.7,1,0.0,425.0,,,,
139,2213290,202404190302,8769524,485.0,910.0,66,604,[],,200,60.0,增白,9E2100CAJ-24W10321,增白,False,M,47.7,2,485.0,910.0,,,,
146,2213631,202404180012,8766778,970.0,1395.0,66,604,['604'],,200,60.0,增白,042080CHJ-05W0013,增白,False,M,47.7,3,970.0,1395.0,,,,
190,2212787,202404170013,8765548,1455.0,1880.0,66,604,[],,200,60.0,增白,042100CHJ-05W0013,增白,False,M,47.7,4,1455.0,1880.0,,,,
200,2213287,202404190301,8769520,1940.0,2365.0,66,604,[],,200,60.0,增白,9E2100CAJ-24W10318,增白,False,M,47.7,5,1940.0,2365.0,,,,
135,2213669,202404300124,8777605,2425.0,2850.0,66,604,['604'],,200,60.0,增白,042100CAJ-05W0013,增白,False,L,42.0,6,2425.0,2850.0,,,,
59,4628610,202405060093,8779208,2910.0,3335.0,66,604,['604'],,200,120.0,增白,041060CAJS-23W650275,增白,False,纱架,40.5,7,2910.0,3335.0,,,,
37,4628641,202303280299,8423406,0.0,425.0,67,516,[],,200,120.0,中色,042100CAJ-23G40792,中色,False,纱架,44.7,1,0.0,425.0,,,,
65,4627454,202405030033,8778195,0.0,425.0,68,408,['408'],,200,120.0,浅浅,041040CJ-19B294039,浅色,False,纱架,44.4,1,0.0,425.0,,,,
57,4628606,202405040048,8778810,545.0,970.0,68,408,[],,200,120.0,浅浅,042060CAJS-24B650169,浅色,False,纱架,40.5,2,545.0,970.0,,,,
58,4628608,202405040049,8778438,1090.0,1515.0,68,408,[],,200,120.0,浅浅,042060CAJS-24H650059,浅色,False,纱架,40.5,3,1090.0,1515.0,,,,
